,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,4,5,4,양이 넉넉합니다. 둘이먹기에도 넉넉.
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,예수님을 찾게되는 천국의 맛 감사합니다
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,이번에 이벤트 해서 먹어봤는데 진짜 맛있었어요 청양마요도 맛잇구 이것도 맛잇네요
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,배달이 빠르고 맛있게 먹었습니다
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,후라이드도 정말 맛있어요 꼭 드셔보세요 전 후라이드만 먹는편인데 정말 바삭하니 잡내없고 맛있습니다 이집!
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,상당히 맛있게 잘 먹었습니다.
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,4,3,5,5,바삭한 느낌이 덜하네요
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,급하게 먹느라고 리뷰를 까먹었네요 정말 맛있게 먹었습니다 가성비 짱이에요 ㅎㅎ 네네가 짱입니다 !
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,에고.. 정신없이 먹다보니 사진을 뒤늦게.... 사진은 밑에 깔려있는 것들이라 양념이 적어보이는데 실제로는 제법 풍족한 양입니다.ㅎ 웨지감자도 너무 맛있고 레드마요 정말 맛있네요. 잘 먹었습니다~
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,밤에 너무맛있게 잘먹었습니다
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,감자랑 치킨이랑 맛있어요~~!!
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,4,4,5,너무 맛있게 먹었네요...양도 적당하고 배달도 빨리 왔어요
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,레드마요도 대박날거같네요~ 매콤하면서 부드러운맛
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,항상 맛있게 먹다보니 쿠폰이 잔뜩 쌓여있네요! 조만간 전화드리겠습니다ㅎㅎ
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,맛있어요..!!!!
0,서울특별시,중구,프랜차이즈,네네치킨-종로점,2021,7,5,5,5,5,맛있어요 배송도빠르고~~
