,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,3,맛있어요!!! 양도 많고 돼지갈비 완전 부드럽... 배달이 좀 늦긴했어요 또 시켜먹을게요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,"맛있게 잘 먹었습니다, 콩나물,무채는 그냥 무료로 주시면 더 좋을 듯 하네요 동치미는 사먹는 인위적인 단맛이 없어서 더 맛있게 먹었네요"
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,너무 맛있어요!! 다음에 또 먹을게요.
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,양많고 맛있습니다 혼밥 혼술 다 든든하네요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,단골이라서 이제 쓸말두 없네요 ㅋㅋ 그냥 맛있어요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,"맛있어요~,~~~~"
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,여긴 항상 맛있어요 또시켜먹어야지
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,중복이라 닭볶음탕 생각나서 시켜먹었는데 최고입니다! 남자 둘이서 먹기에 부족하지 않은 양과 맛이었어요! 잘먹었습니다~
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있게 잘 먹었습니다
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,혼밥대왕 브라보 맛잇다
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요.
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요~~~~~~
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,김찌 여기가젤 맛잇음 여기서 시키셈그냥
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,점심에 먹기에 좋아요 여기 진짜 된장찌개 맛집이에요!
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요~ 비계부분이 살짝 덜 익은 느낌 이긴하지만 요즘 고기 다 괜찮다고하니 걍 쫄깃하게 잘먹었어요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요 라면사리 추가한거 잘한거 같아요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요 혼밥 최고~~
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,,맛있어요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,3,"돼지고기 두부 듬뿍넣은 김치찌개는 한잔 땡기는 맛이에요^^ 부드러운 달걀찜도 엄청 맛나구요, ""우삼겹된장찌개"" 강추 입니다. 밥도둑입니다♡♡♡ 공기밥이 찰기가 없어서 좀 섭섭하긴 했지만 진심 맛있게 먹었습니다. 또 시킬거에요 번창하세요 사장님!!!!"
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,#식후감#맛표현미슐랭 부대찌개 존맛탱 입니다 지금까지 시켜먹은 가게중에 전문집 보다 맛있음 국물이 끝내줌 우삼겹 도시락은 좀 짯어요ㅠ 밥을 엄청떠서 먹어야 함ㅠ 다음엔 좀 삼삼하게 부탁드려요 전체적으로 배달도 빠르게 왔고 양도 푸짐해서 좋았어요 자주 시켜 먹을게요 번창하세요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,양도 많고 맛있네요~
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어서 재주문했어요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있게 잘 먹었습니다.
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,재주문입니다! 항상 감사합니다
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,존맛탱구리 존맛탱구리
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,김치찌개 고기 엄청 많이 들었고 비린내 1도 안나네요. 금욜에 이동네로 이사와서 처음 시켜먹어봤는데 앞으로 자주 이용할게요^^ 번창하세요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,굿!!!!!!!!!!!!!!!!
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,4,4,5,5,잘머겄습니다. 재주문 해가며 먹고있아요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,4,4,5,5,아침일찍부터 맛있게 잘먹었습니다
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,배달도 빠르고 너무 맛있어요~~
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,감사합니다 맛있게 잘 먹었습니다! 번창하세요!
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,1,대체 배달이 언제오는건지 배달 예정시간60분 보다 20분이 지나서도안와서 댓글담
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,좋아요 맛있어요 깔끔해요
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있게 배불리 잘먹었습니다! 푸짐하고 좋아요!
0,서울특별시,중구,프랜차이즈,혼밥대왕-왕십리점,2021,7,5,5,5,5,양도 많고 맛있네용
